"","num","taxNum","taxon","rawImprovement","IC"
"1",0,NA,NA,NA,9037.95737221732
"2",1,"176","Quercus buckleyi|QUE000592",68.2443157699236,9106.20168798725
"3",2,"290","Quercus rugosa|QUE002665",60.7460771887054,9166.94776517595
"4",3,"268","Quercus sebifera|QUE002758",169.104619989263,9336.05238516522
"5",4,"2","Quercus frutex|QUE002743",48.825995143503,9384.87838030872
"6",5,"321","Quercus carmenensis|QUE003179",109.930499869508,9494.80888017823
"7",6,"297","Quercus diversifolia|QUE000302",65.942935032328,9560.75181521055
"8",7,"41","Quercus pubescens|QUE001986",46.1537867813149,9606.90560199187
"9",8,"200","Quercus sartorii|QUE000549",45.0370210150068,9651.94262300688
"10",9,"201","Quercus sapotifolia|QUE000540",219.924721538328,9871.8673445452
"11",10,"181","Quercus meavei|QUE002835",112.521468069383,9984.38881261459
"12",11,"186","Quercus galeanensis|QUE003058",41.2771719626489,10025.6659845772
"13",12,"261","Quercus falcata|QUE000183",26.2832781126617,10051.9492626899
"14",13,"296","Quercus convallata|QUE001258",17.3401612707148,10069.2894239606
"15",14,"248","Quercus shumardii var. schneckii|QUE002916",15.4173577880065,10084.7067817486
"16",15,"314","Quercus potosina|QUE000205",13.5275908202711,10098.2343725689
"17",16,"239","Quercus georgiana|QUE001055",5.87415894762671,10104.1085315165
"18",17,"322","Quercus microphylla|QUE002858",1.57744337879558,10105.6859748953
