"","num","taxNum","taxon","rawImprovement","IC"
"1",0,NA,NA,NA,9138.61328484656
"2",1,"316","Quercus sartorii|QUE000549",103.344870909583,9241.95815575614
"3",2,"261","Quercus miquihuanensis|QUE004085",82.6232489597623,9324.58140471591
"4",3,"314","Quercus sapotifolia|QUE000540",80.9047779374541,9405.48618265336
"5",4,"51","Quercus germana|QUE000823",65.8730226639436,9471.3592053173
"6",5,"262","Quercus hypoxantha|QUE002910",35.7752912499272,9507.13449656723
"7",6,"252","Quercus buckleyi|QUE000592",23.2834826211129,9530.41797918834
"8",7,"315","Quercus meavei|QUE002835",22.0092257172219,9552.42720490557
"9",8,"16","Quercus glaucoides|QUE000207",19.9428713170018,9572.37007622257
"10",9,"320","Quercus arizonica|QUE000155",23.6826366400292,9596.0527128626
"11",10,"319","Quercus ocoteifolia|QUE000444",9.0767093257291,9605.12942218833
"12",11,"101","Quercus pubescens|QUE001986",5.47515776351065,9610.60457995184
