"","Quercus_CA","Quercus_MX","Quercus_MX_stellatae","roburoids_albae","mac_bic","mac_bic_lob"
"refRAD.ref_alba_raxml",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_longispica_raxml",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_rubra_raxml",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_tomentella_raxml",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_variablis_raxml",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_virginiana_raxml",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"simRAD.simRAD_Qalba_raxml",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"simRAD.simRAD_Qvar_raxml",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"reSeq.reseq_Qalba",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"reSeq.reseq_Qvar",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"refRAD.ref_alba_raxml.bt001",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt002",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt003",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt004",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt005",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt006",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt007",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt008",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt009",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt010",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt011",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt012",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt013",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt014",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt015",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt016",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt017",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt018",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt019",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt020",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt021",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_alba_raxml.bt022",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt023",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt024",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt025",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt026",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt027",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt028",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt029",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt030",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt031",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt032",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt033",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt034",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt035",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt036",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt037",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt038",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt039",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt040",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt041",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt042",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt043",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
