P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Cerris	Ilex	Cyclobalanopsis	0.0108977	8.52595	2.3e-16	0.00869606	1.17217e+06	696392	681378
Cyclobalanopsis	Cerris	Lobatae	0.0291779	18.533	2.3e-16	0.0145224	864526	734526	692878
Cyclobalanopsis	Cerris	Ponticae	0.0269914	14.7578	2.3e-16	0.0133397	795217	679245	643541
Cyclobalanopsis	Cerris	Protobalanus	0.0231673	12.7975	2.3e-16	0.0131919	828421	704831	672912
Cyclobalanopsis	Cerris	Quercus	0.0342668	20.9952	2.3e-16	0.0217439	921691	795457	742748
Cyclobalanopsis	Cerris	Virentes	0.0391774	23.6922	2.3e-16	0.0135584	838654	741450	685545
Ilex	Cerris	Lobatae	0.0117249	8.9481	2.3e-16	0.00499048	1.20951e+06	616948	602649
Cerris	Ilex	Ponticae	0.00792024	4.8815	1.05281e-06	0.00332305	1.14964e+06	564594	555720
Cerris	Ilex	Protobalanus	0.00980556	7.45342	9.09499e-14	0.00475838	1.1854e+06	591287	579804
Ilex	Cerris	Quercus	0.0121298	7.30542	2.76407e-13	0.00658278	1.30503e+06	663286	647388
Ilex	Cerris	Virentes	0.02007	13.3177	2.3e-16	0.00588805	1.18824e+06	618346	594014
Lobatae	Ponticae	Cerris	0.0108225	5.49109	3.99452e-08	0.00498544	717977	641502	627765
Lobatae	Protobalanus	Cerris	0.00799432	4.28439	1.83242e-05	0.00379671	749206	667735	657143
Lobatae	Quercus	Cerris	0.0154118	9.22494	2.3e-16	0.00756522	821954	741669	719155
Lobatae	Virentes	Cerris	0.023616	13.7532	2.3e-16	0.0118132	767033	697958	665753
Protobalanus	Ponticae	Cerris	0.00319935	2.00503	0.0449602	0.000958505	1.31584e+06	433948	431181
Ponticae	Quercus	Cerris	0.0118709	9.2675	2.3e-16	0.00300159	1.86046e+06	391704	382513
Ponticae	Virentes	Cerris	0.0232409	15.9817	2.3e-16	0.00667173	1.61402e+06	416814	397880
