"","num","taxNum","taxon","rawImprovement","IC"
"1",0,NA,NA,NA,8750.07465592549
"2",1,"292","Quercus carmenensis|QUE003179",189.004866384894,8939.07952231038
"3",2,"197","Quercus sapotifolia|QUE000540",169.237324229169,9108.31684653955
"4",3,"16","Quercus engelmannii|QUE000310",154.998483950123,9263.31533048968
"5",4,"198","Quercus sartorii|QUE000549",151.178283804467,9414.49361429414
"6",5,"24","Quercus lobata|QUE000336",97.0623161320545,9511.5559304262
"7",6,"313","Quercus convallata|QUE001258",48.5376248863085,9560.09355531251
"8",7,"15","Quercus sebifera|QUE002758",32.4119689411473,9592.50552425365
"9",8,"250","Quercus hypoxantha|QUE002910",28.0559065089619,9620.56143076261
"10",9,"1","Quercus frutex|QUE002743",18.8430184888239,9639.40444925144
"11",10,"183","Quercus arkansana|QUE000600",3.30477168989637,9642.70922094133
